Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
172291,17,A,1,046,137,3.5,127.32,15,14.55,11.3,5
172293,17,A,1,046,339,9.19,31.83,20,20.4,17.1,7.19
172294,17,A,1,046,51,5.5,31.83,15,15.45,13,7
172295,17,A,1,068,83,3.4,127.32,10,9.95,8,6.5
172297,17,A,1,046,289,12.6,14.14,25,24.8,22.75,6.5
172298,17,A,1,023,117,12,14.14,30,31.6,24.45,9.8
172300,17,A,1,046,140,6.09,31.83,15,15.05,13.3,6.5
172301,17,A,1,046,302,9.19,31.83,20,18.5,13.1,8.8
172302,17,A,1,243,180,7.59,31.83,25,23.5,22.05,7.59
172303,17,A,1,046,166,7.09,31.83,15,15.6,13.5,7.09
172304,17,A,1,026,189,8.8,31.83,40,41.65,36.05,14.6
172306,17,A,1,046,92,5.3,31.83,15,13.7,12.6,5.59
172307,17,A,1,046,202,13.39,14.14,40,38.85,36.8,10.8
172308,17,A,1,023,84,11.69,14.14,40,39.8,35,17
172309,17,A,1,023,125,5.8,31.83,30,30,26.7,9.5
172312,17,A,1,023,173,6.59,31.83,35,33.15,29.5,9
172313,17,A,1,046,313,4.19,127.32,15,15.25,12.25,8
172314,17,A,1,026,96,11.5,14.14,40,40.35,33.05,23
172315,17,A,1,026,44,6.69,31.83,15,16.65,13.75,10.89
172316,17,A,1,046,96,12.39,14.14,25,27.1,24.25,8.69
172317,17,A,1,023,135,5.4,31.83,15,13.85,12.95,9.89
172318,17,A,1,046,162,8.19,31.83,25,24.3,22.65,7.09
172320,17,A,1,045,301,9.3,31.83,15,16.9,14.75,7
172322,17,A,1,023,325,2.9,127.32,25,24.65,16.75,7.69
172323,17,A,1,045,55,7,31.83,15,15.25,14.45,10.89
172325,17,A,1,046,138,7.3,31.83,25,25.8,23.5,7.5
172326,17,A,1,046,129,1.1,127.32,10,9.15,7.95,4
172328,17,A,1,046,77,15.8,5.09,30,28.35,26.35,8
172329,17,A,1,024,79,3.79,127.32,30,27.8,23.5,11.1
172330,17,A,1,046,167,2.7,127.32,20,18.2,16.7,5.5
172331,17,A,1,023,136,5.59,31.83,15,14.7,12.7,8.5
172332,17,A,1,023,82,3.29,127.32,25,26.7,22.95,11
172334,17,A,1,046,160,7.8,31.83,25,23.7,22.7,12
172335,17,A,1,045,119,9.19,31.83,20,21.45,18.05,9
172337,17,A,1,046,65,7.9,31.83,20,19.75,16.1,7
172338,17,A,1,072,162,5.59,31.83,15,14.35,11.95,8.5
172339,17,A,1,046,190,4.5,127.32,10,10.45,8.45,4.5
172340,17,A,1,046,67,9,31.83,20,19.6,17.7,8.5
172341,17,A,1,023,64,3.59,127.32,20,22.05,17.4,10.5
172342,17,A,1,026,170,1.5,127.32,25,25.2,22.25,13.5
172343,17,A,1,046,241,7.69,31.83,20,17.8,13.15,3.5
172345,17,A,1,026,220,10.1,14.14,25,23.55,18.65,10
172346,17,A,1,068,340,4.19,127.32,10,11.9,8.95,6
172348,17,A,1,023,174,4.9,127.32,30,31.4,28.95,8.5
172350,17,A,1,046,192,8.89,31.83,20,17.95,16.3,8
172351,17,A,1,023,147,5.19,31.83,20,18.85,16.8,8
172353,17,A,1,023,68,4,127.32,25,23.4,20.45,12.5
172354,17,A,1,026,161,4.09,127.32,30,27.5,18.2,14
172356,17,A,1,023,150,3.5,127.32,45,44.05,36.65,13.5
172360,17,A,1,026,60,13.69,14.14,30,31.1,28.05,12.5
172361,17,A,1,046,175,9.39,31.83,15,15.7,14.9,5.5
172362,17,A,1,023,58,9.19,31.83,25,22.55,14,9.5
172363,17,A,1,046,67,10.39,14.14,30,27.5,25.4,12.5
172364,17,A,1,026,253,9.89,31.83,25,23.95,23,7
172365,17,A,1,046,131,4.3,127.32,15,14.7,14.35,5
172366,17,A,1,026,107,9.1,31.83,30,29.75,24.85,14.5
172367,17,A,1,026,113,4.8,127.32,10,7.75,7.7,7
172368,17,A,1,046,89,9,31.83,15,14.15,13.55,8
172369,17,A,1,026,268,6.5,31.83,20,22.05,17.8,8.5
172370,17,A,1,046,142,9,31.83,20,19.75,17.4,6.5
172372,17,A,1,026,54,9.89,31.83,20,20.9,14.6,14
172373,17,A,1,023,101,14.8,14.14,35,32.9,29.4,14.5
172374,17,A,1,046,336,6.9,31.83,30,32.3,28.4,9
172375,17,A,1,046,154,2.09,127.32,20,19.3,16.05,8.5
172376,17,A,1,046,293,15.1,5.09,30,29.7,26.4,7
172380,17,A,1,046,71,2.09,127.32,15,13.75,13.3,7
