Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
431054,43,A,1,024,254,16.29,5.09,25,26.3,23.5,8.5
431090,43,A,1,024,287,2.59,127.32,25,27.1,23.6,11.5
431109,43,A,1,024,189,7.8,31.83,30,29.8,26.55,11
431127,43,A,1,024,236,10.5,14.14,25,27.25,23.55,14.19
431140,43,A,1,045,375,7.4,31.83,15,14.05,12.7,7.8
431146,43,A,1,025,335,8.19,31.83,20,18.55,14.85,9
431150,43,A,1,045,256,7.19,31.83,15,12.65,12.5,6.8
431156,43,A,1,045,309,7.69,31.83,15,17.4,13.8,10.8
431168,43,A,1,024,301,8.69,31.83,20,22.1,15.7,9.8
431169,43,A,1,024,255,4.09,127.32,20,17.6,11.25,8.8
431173,43,A,1,044,384,23.89,5.09,50,52.45,50.7,11
431194,43,A,1,024,218,1.7,127.32,20,19.25,17.8,7
431236,43,A,1,024,325,12.1,14.14,30,30.25,26.45,12
431244,43,A,1,024,305,11.8,14.14,35,33.3,28.05,10.5
431255,43,A,1,024,221,7.69,31.83,25,27.15,25.75,8.5
431256,43,A,1,024,293,10.19,14.14,30,27.9,25.05,10
431258,43,A,1,024,392,5.09,31.83,20,21.65,20.75,10.5
431273,43,A,1,025,86,14,14.14,35,33.7,31.9,16
431278,43,A,1,024,275,13.39,14.14,35,34.5,32.15,11.5
431281,43,A,1,024,266,14.69,14.14,20,21.2,18.85,6.5
431282,43,A,1,025,303,13.19,14.14,30,29.65,26.65,13.5
431289,43,A,1,045,380,7.09,31.83,20,18.5,14.45,7
431292,43,A,1,024,223,2.09,127.32,30,27.75,18.55,7.5
431294,43,A,1,024,261,9.6,31.83,15,16,13.15,8.39
431295,43,A,1,024,297,13.8,14.14,30,29.2,27.55,8.5
431306,43,A,1,025,198,11.8,14.14,25,27.15,25.6,11
431308,43,A,1,025,180,1.7,127.32,10,9,8.95,7
431314,43,A,1,025,390,10.6,14.14,15,16.55,15.75,7.5
431315,43,A,1,045,310,4,127.32,10,10.55,8.9,7.5
431317,43,A,1,025,334,5.9,31.83,25,24.5,20.05,10.5
431318,43,A,1,025,171,11.39,14.14,25,25.65,24.65,12.5
431320,43,A,1,045,285,10.69,14.14,15,16.45,16.3,5.5
431330,43,A,1,024,347,7.5,31.83,30,28.7,25.3,10.5
431333,43,A,1,021,284,11,14.14,35,33.6,30.75,10
431342,43,A,1,021,268,8.3,31.83,25,23.15,18.05,11
431344,43,A,1,025,282,6.3,31.83,15,13.6,12.9,6
431346,43,A,1,024,278,10.39,14.14,25,23.55,21.95,11.5
431377,43,A,1,045,339,7.69,31.83,15,14.65,14.75,6
431389,43,A,1,024,202,3.7,127.32,20,17.6,15.4,10
431413,43,A,1,025,281,10.1,14.14,35,36.6,32.7,16
431416,43,A,1,021,389,4,127.32,25,25.7,24.55,8.8
431418,43,A,1,021,228,9.1,31.83,30,29.95,26.7,13
431422,43,A,1,025,317,14.3,14.14,45,44.55,36.65,14.5
431423,43,A,1,025,223,24,5.09,45,45.5,43.3,15.5
431424,43,A,1,025,163,12.8,14.14,35,36.95,36.5,17
431429,43,A,1,025,194,7.8,31.83,30,29,28.2,12.5
431431,43,A,1,025,268,14,14.14,40,37.9,36.25,13.69
431432,43,A,1,025,246,4.5,127.32,10,10.6,8.9,5.5
431434,43,A,1,045,210,7.8,31.83,20,18.6,15.3,4.5
431435,43,A,1,025,327,2.9,127.32,20,17.8,17.45,7.5
431437,43,A,1,025,342,8.19,31.83,20,19.95,17.55,10
431438,43,A,1,021,181,2,127.32,15,12.7,11.85,8.5
431444,43,A,1,025,142,9.3,31.83,30,30.7,26.2,19.5
431445,43,A,1,045,330,3.5,127.32,15,13.9,12.1,5.5
431446,43,A,1,025,201,7.3,31.83,20,18.25,16.9,13
431448,43,A,1,025,251,8.1,31.83,35,34.35,30.5,15
431452,43,A,1,025,270,10,14.14,35,34.2,30.7,21
431458,43,A,1,021,148,13.39,14.14,25,27.1,25.9,16.5
431461,43,A,1,215,356,3,127.32,15,13.3,10.65,6
431464,43,A,1,045,269,8,31.83,25,23.7,18.5,8
431467,43,A,1,025,262,7.5,31.83,25,26.15,25.4,4.5
431468,43,A,1,021,364,4.09,127.32,10,11.95,9.4,6.5
431469,43,A,1,025,327,13.39,14.14,40,39.3,37,15
431474,43,A,1,021,318,15.39,5.09,50,47.6,43,19
431477,43,A,1,025,156,14.69,14.14,35,36.8,35.5,15
431481,43,A,1,025,226,4.09,127.32,25,27.05,22.85,13
